,pair,TStatistic,PValue_T,significance
0,"(1,2)",-17.661863797247513,6.0364296156518736e-05,****
1,"(1,3)",-16.60955008231165,7.696568335877669e-05,****
2,"(1,4)",-17.461004190835602,6.315929459920938e-05,****
3,"(1,5)",-24.06568986628128,1.768378819973896e-05,****
4,"(2,3)",-4.3168125706666745,0.012478744725901339,*
5,"(2,4)",-7.316506643058213,0.0018565084055910792,**
6,"(2,5)",-15.49306977703445,0.00010130588015855732,***
7,"(3,4)",-3.215248386289089,0.0324266257691198,*
8,"(3,5)",-11.317186198977412,0.00034747481591230036,***
9,"(4,5)",-7.913169501271032,0.0013799740241057317,**
