,Symbol,Name,ListedDate,InstitutionID,SecurityID,FullName,ShareType,BoardID,ShareType2
1894,2202,萬科企業,2014-06-25,101775,201000069954,萬科企業股份有限公司,H,P3401,2
1795,2039,中集集團,2012-12-19,10985,201000002428,中國國際海運集裝箱(集團)股份有限公司,H,P3401,2
719,763,中興通訊,2004-12-09,101553,201000001901,中興通訊股份有限公司,H,P3401,2
1066,1157,中聯重科,2010-12-23,103592,201000002209,中聯重科股份有限公司,H,P3401,2
2417,6806,申萬宏源,2019-04-26,104100,201004184403,申萬宏源集團股份有限公司,H,P3401,2
1998,2338,濰柴動力,2004-03-11,102980,201000002483,濰柴動力股份有限公司,H,P3401,2
1599,1812,晨鳴紙業,2008-06-18,10854,201000002371,山東晨鳴紙業集團股份有限公司,H,P3401,2
1353,1513,麗珠醫藥,2014-01-16,101183,201000069877,麗珠醫藥集團股份有限公司,H,P3401,2
681,719,山東新華製藥股份,1996-12-31,102203,201000001864,山東新華製藥股份有限公司,H,P3401,2
1569,1776,廣發證券,2015-04-10,101506,201004157536,廣發證券股份有限公司,H,P3401,2
350,347,鞍鋼股份,1997-07-24,101969,201000001547,鞍鋼股份有限公司,H,P3401,2
858,921,海信家電,1996-07-23,103297,201000002021,海信家電集團股份有限公司,H,P3401,2
2223,3678,弘業期貨,2015-12-30,10100708,201004162943,弘業期貨股份有限公司,H,P3401,2
854,916,龍源電力,2009-12-10,103889,201000002017,龍源電力集團股份有限公司,H,P3401,2
1898,2208,金風科技,2010-10-08,101290,201000002445,新疆金風科技股份有限公司,H,P3401,2
3066,9989,海普瑞,2020-07-08,102114,201004189763,深圳市海普瑞藥業集團股份有限公司,H,P3401,2
1566,1772,贛鋒鋰業,2018-10-11,102105,201004181844,江西贛鋒鋰業集團股份有限公司,H,P3401,2
3011,9696,天齊鋰業,2022-07-13,101938,201004214847,天齊鋰業股份有限公司,H,P3401,2
537,568,山東墨龍,2007-02-07,103014,201000001726,山東墨龍石油機械股份有限公司,H,P3401,2
1123,1211,比亞迪股份,2002-07-31,103723,201000002258,比亞迪股份有限公司,H,P3401,2
831,895,東江環保,2010-09-28,103874,201000001997,東江環保股份有限公司,H,P3401,2
974,1057,浙江世寶,2011-03-09,102788,201000002124,浙江世寶股份有限公司,H,P3401,2
2836,8331,浙江世寶,2006-05-16,102788,201000002926,浙江世寶股份有限公司,H,P3403,
2427,6821,凱萊英,2021-12-10,10121460,201004209676,凱萊英醫藥集團(天津)股份有限公司,H,P3401,2
2375,6196,鄭州銀行,2015-12-23,105364,201004162758,鄭州銀行股份有限公司,H,P3401,2
2267,3866,青島銀行,2015-12-03,10117891,201004162088,青島銀行股份有限公司,H,P3401,2
1602,1816,中廣核電力,2014-12-10,10138616,201004156431,中國廣核電力股份有限公司,H,P3401,2
2176,3347,泰格醫藥,2020-08-07,10100160,201004190306,杭州泰格醫藥科技股份有限公司,H,P3401,2
2408,6680,金力永磁,2022-01-14,10289112,201004210563,江西金力永磁科技股份有限公司,H,P3401,2
2243,3759,康龍化成,2019-11-28,10379671,201004187048,康龍化成(北京)新藥技術股份有限公司,H,P3401,2
1625,1839,中集車輛,2019-07-11,10242741,201004185622,中集車輛(集團)股份有限公司,H,P3401,2
