,Unnamed: 0_x,AID,PreMaxK,PreMaxYiled,Unnamed: 0_y,PostMaxK,PostMaxYiled,
0,0,601818.SH,0.75,-0.12157064,6,0.5,0.016252592,0.25
1,1,600600.SH,0.15,0.008347124,8,0,0.033905709,0.15
2,2,600585.SH,0,0.09076522,9,0.05,0.054673598,-0.05
3,3,600362.SH,1.5,-0.08308034,10,1.1,0.080615065,0.4
4,4,600012.SH,0.05,-0.014122062,11,2,0.066083639,-1.95
5,5,600548.SH,0.025,-0.022625765,12,1.25,0.015439663,-1.225
6,6,601398.SH,2,-0.027768349,15,0.9,0.017714301,1.1
7,7,601939.SH,0,0.050826721,16,0.15,0.029381209,-0.15
8,8,600808.SH,2,-0.057443564,17,2,-0.056817555,0
9,9,600029.SH,1.75,0.006814423,18,0.05,0.082532529,1.7
10,10,601288.SH,0.75,-0.044063844,20,0.2,0.010631027,0.55
11,11,600026.SH,0.0125,-0.064336561,21,0.1,0.061151842,-0.0875
12,12,600028.SH,0.15,-0.057711238,22,1.25,0.032998414,-1.1
13,13,600196.SH,2,0.202222065,23,1.25,0.039354677,0.75
14,14,600377.SH,0,-0.049732721,24,0.15,-0.029199016,-0.15
15,15,600115.SH,1.5,-0.015386233,25,1.2,0.094934592,0.3
16,16,600036.SH,0.85,-0.007804832,27,0.025,0.054378768,0.825
17,17,601991.SH,0.025,-0.023328706,28,0.2,0.016012927,-0.175
18,18,600030.SH,0.05,0.128082558,29,0.25,-0.000702817,-0.2
19,19,600688.SH,1.5,0.108749317,30,2,0.021599377,-0.5
20,20,601328.SH,2,-0.065353078,31,0.5,0.012387601,1.5
21,21,600027.SH,1.75,0.045149276,32,1.2,-0.036167804,0.55
22,22,601998.SH,1.25,0.024844283,33,2,0.013689762,-0.75
23,23,600685.SH,0.8,0.196984164,34,0.15,-0.033862123,0.65
24,24,601988.SH,0.75,-0.058471341,35,0.2,0.01994169,0.55
25,25,601588.SH,0.75,-0.115668901,36,0.2,-0.035846911,0.55
26,26,600011.SH,0.025,-0.01554766,37,0.85,-0.011643774,-0.825
27,27,601866.SH,0,-0.015496115,40,0.25,0.018116844,-0.25
28,28,601899.SH,1.25,-0.05807608,41,0.075,0.27425084,1.175
29,29,600837.SH,1.75,-0.144377137,42,0.075,0.073906268,1.675
30,30,600332.SH,0.15,0.131975873,43,0.2,0.052215838,-0.05
31,31,601633.SH,0.25,0.143204763,44,1.2,0.14622504,-0.95
32,32,600775.SH,0,0.022243394,45,0.5,-0.071222094,-0.5
33,33,601336.SH,1.25,-0.052681889,46,2,-0.056907263,-0.75
34,34,601318.SH,0.5,0.074545611,47,1.15,0.059804044,-0.65
35,35,601601.SH,2,-0.030835832,48,0.05,-0.01846343,1.95
36,36,600016.SH,2,0.106376367,49,1.75,-0.000481089,0.25
37,37,601628.SH,2,-0.048566575,50,1.75,0.087668827,0.25
38,38,601618.SH,0.15,-0.08042517,51,0,-0.027136825,0.15
39,39,601390.SH,0.2,-0.12004726,52,2,0.048360836,-1.8
40,40,601800.SH,0.0125,-0.166701792,53,0.0125,0.01337537,0
41,41,601992.SH,0.75,0.03837741,54,0.1,-0.106946058,0.65
42,42,601238.SH,1,0.002592666,55,2,-0.012982329,-1
43,43,601186.SH,2,-0.003302757,56,0.5,-0.001579368,1.5
44,44,601766.SH,0,0.170154026,57,0.75,-0.022237803,-0.75
45,45,601898.SH,2,-0.037389141,58,0.025,-0.031801138,1.975
46,46,601808.SH,0.85,0.023554628,59,1.5,0.051518642,-0.65
47,47,601717.SH,0.15,-0.105451039,60,0,0.053354087,0.15
48,48,601919.SH,0,-0.092106675,62,2,0.190187932,-2
49,49,603993.SH,0.75,-0.03421518,63,0.1,-0.022194809,0.65
50,50,600875.SH,0.25,-0.06884053,66,0.1,0.06686279,0.15
51,51,601607.SH,1.75,0.014883415,67,2,0.056325639,-0.25
52,52,600860.SH,0,0.145397102,68,0,-0.067814441,0
53,53,600871.SH,0,0.200387648,69,2,-0.036220155,-2
54,54,601880.SH,0.5,-0.05804594,70,0.25,0.014670126,0.25
55,55,600874.SH,1.05,-0.005309422,71,1.5,-0.008577869,-0.45
56,56,601857.SH,2,-0.01385787,72,0.5,0.024513356,1.5
57,57,601005.SH,0.0125,-0.02593543,73,0.025,-0.072091984,-0.0125
58,58,601333.SH,1.25,-0.093552938,74,1.25,0.035835577,0
59,59,601727.SH,1.75,-0.038935202,75,0.1,0.025812606,1.65
60,60,601107.SH,0.2,-0.026480299,76,0.25,-0.014740725,-0.05
61,61,601111.SH,0.0125,0.053116469,77,0.0125,0.024010733,0
62,62,601600.SH,0.05,-0.078644842,78,1.1,0.054591474,-1.05
63,63,601038.SH,1.5,0.129702801,80,1.5,0.005254123,0
64,64,601088.SH,0.0125,0.031768312,81,0,0.060597638,0.0125
65,65,600188.SH,0,-0.024942167,109,0.2,0.02281011,-0.2
66,66,600876.SH,1,0.225680468,117,0,0.046823421,1
,,,,,,,,
